Australian Business Number (ABN),Legal entity name,Service provider name,Legal entity postcode,Legal entity suburb/locality,Legal entity LGA,Service delivery postcode,Service delivery suburb/locality,Service delivery LGA,Longitude,Latitude,Funding agency,Program title,Sub-program title,Statewide,Purpose,Category1,Recipient type,Client group1,Assistance type1,Business specific activity,Funding source,Funding use,Financial year expenditure,Funding agreement duration,Funding agreement start,Funding agreement end,Total expenditure under this agreement to date,Total expenditure under this agreement notes
55066537031,Darumbal Community Youth Service Inc,DCYSI Bail Support and Walali Bili Service,4700,Rockhampton,Rockhampton (R),4700,Rockhampton City,Rockhampton (R),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,424333,Multi-year,1/07/2021,30/06/2025,1208217,
31213096805,Deadly Inspiring Youth Doing Good Aboriginal and Torres Strait Islander Corporation,DIYDG – Level Up,4870,Cairns,Cairns (R),4870,Manoora,Cairns (R),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,264000,1 year or less,1/07/2023,30/06/2024,264000,
52659978846,Edmund Rice Education Australia Flexible Schools Ltd ,Townsville Flexible Learning Centre - Burragah Program,4034,Aspley,Brisbane (C),4810,West End (Townsville City),Townsville (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,134281,1 year or less,1/01/2024,31/12/2024,67141,
98544197890,Gold Coast Youth Service Inc,GCYS QYPI Coomera and Helensvale (Westfield shopping centres),4220,BURLEIGH HEADS,Gold Coast (C),4220,Miami,Gold Coast (C),,,DYJ,Qld Youth Partnership Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,135180,1 year or less,1/07/2023,31/12/2023,67590,
98544197890,Gold Coast Youth Service Inc,Project Street CRED,4220,BURLEIGH HEADS,Gold Coast (C),4220,Miami,Gold Coast (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,138400,1 year or less,1/07/2023,31/12/2023,69200,
33139659331,Goolburri Aboriginal Health Advancement,Goolburri - Youth Participation Program (YJ Family Led Decision Making Program),4350,Toowoomba,Toowoomba (R),4350,East Toowoomba,Toowoomba (R),,,DYJ,YJ Family Led Decision Making,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,253984,Multi-year,1/10/2022,30/06/2026,442702,
11407494755,Gr8Motive Aboriginal and Torres Strait Islander Corporation,Gr8Motive On Country - Townsville,4870,Cairns,Cairns (R),4883,Atherton,Tablelands (R),,,DYJ,On Country Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,563251,1 year or less,1/07/2023,30/06/2024,563251,
78106094461,Griffith University,Griffith Youth Forensic Service,4215,Southport,Gold Coast (C),4121,Holland Park West,Brisbane (C),,,DYJ,Specialist Counselling Service,,Yes,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1109920,Multi-year,1/12/2021,31/12/2026,2833476,
48301028154,ICYS Ipswich Community Youth Service Inc,ICYS Community Youth Response & Diversion - Ipswich,4305,NORTH IPSWICH,Ipswich (C),4305,Ipswich,Ipswich (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,965957,Multi-year,1/01/2024,30/06/2028,454689,
43289699774,Inspire Youth and Family Services,SWAP Bail Support Service,4077,INALA,Brisbane (C),4077,Inala,Brisbane (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,711429,Multi-year,1/07/2021,30/06/2025,2025953,
79611886178,JABALBINA YALANJI ABORIGINAL CORPORATION RNTBC,Jabalbina Yalanji On Country,4873,Mossman,Douglas (S),4873,Mossman,Douglas (S),,,DYJ,On Country Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,788243,Multi-year,1/07/2023,30/06/2025,788243,
24618611475,JT Academy,JT Academy Pty Ltd,1234,Interstate,Interstate,4217,Bundall,Gold Coast (C),,,DYJ,Diversion - Sport,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1946560,1 year or less,1/09/2023,30/06/2024,1946560,
24618611475,JT Academy,JTA - You Got This Program,1234,Interstate,Interstate,4217,Bundall,Gold Coast (C),,,DYJ,Diversion - Sport,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,253440,1 year or less,1/07/2023,30/06/2024,253440,
83155632836,Kambu Aboriginal and Torres Strait Islander Corporation for Health,Kambu Cultural Mentoring Service,4305,IPSWICH,Ipswich (C),4305,Ipswich,Ipswich (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,224930,1 year or less,1/07/2023,31/12/2023,74965,
47298315697,Kurbingui Youth Development Limited,Kurbingui - YJ Family Led Decision Making Program,4034,ZILLMERE,Brisbane (C),4034,Zillmere,Brisbane (C),,,DYJ,YJ Family Led Decision Making,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,251696,Multi-year,1/10/2022,30/06/2026,318898,
47298315697,Kurbingui Youth Development Limited,Kurbingui Intensive Bail Initiative Caboolture/Redcliffe,4034,ZILLMERE,Brisbane (C),4034,Zillmere,Brisbane (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1363117,Multi-year,1/07/2023,30/06/2028,1022337,
47298315697,Kurbingui Youth Development Limited,Kurbingui QYPI Chermside (Westfield),4034,ZILLMERE,Brisbane (C),4034,Zillmere,Brisbane (C),,,DYJ,Qld Youth Partnership Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,67592,1 year or less,1/07/2023,31/03/2024,50694,
47298315697,Kurbingui Youth Development Limited,Kurbingui Youth & Family Services - Community Youth Response Diversion (CYRD),4034,ZILLMERE,Brisbane (C),4034,Zillmere,Brisbane (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,230659,Multi-year,1/07/2021,30/06/2025,656856,
97075403959,Lifeline Darling Downs And South West Queensland Limited,Changing Lanes (YOSS),4350,TOOWOOMBA,Toowoomba (R),4350,Toowoomba City,Toowoomba (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,528148,Multi-year,1/01/2023,31/12/2027,778148,
51166477318,Mercy Community Services SEQ Limited,Mercy Community Services Cherbourg and South Burnett Youth Bail Support,4014,Nudgee,Brisbane (C),4014,Nudgee,Brisbane (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,263398,Multi-year,1/07/2021,30/06/2025,728630,
51166477318,Mercy Community Services SEQ Limited,Storyline Cherbourg,4014,Nudgee,Brisbane (C),4605,Murgon,South Burnett (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,180518,1 year or less,1/01/2023,31/12/2023,287916,
55414872249,Cherbourg Wellbeing Indigenous Corporation,YOSS Cherbourg,4605,Cherbourg,Cherbourg (S),4605,Cherbourg,Cherbourg (S),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,83000,Multi-year,1/05/2024,30/06/2026,83000,
15000002522,Mission Australia,Strong Together & Resilient (STAR),1234,Interstate,Interstate,4880,Mareeba,Mareeba (S),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,422520,Multi-year,1/01/2023,31/12/2027,622520,
75628946046,Murri Watch Aboriginal and Torres Strait Islanders Corporation,Murri Watch - Caboolture Watchhouse Support,4101,South Brisbane,Brisbane (C),4101,South Brisbane,Brisbane (C),,,DYJ,YJ - WATCHHOUSE,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,710000,Multi-year,1/08/2023,31/12/2024,665579,
75628946046,Murri Watch Aboriginal and Torres Strait Islanders Corporation,Murri Watch Youth Cultural Support Program,4101,South Brisbane,Brisbane (C),4102,Woolloongabba,Brisbane (C),,,DYJ,YJ - WATCHHOUSE,,Yes,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,739408,Multi-year,1/12/2022,30/06/2024,1147741,
96636036934,North West Queensland Indigenous Catholic Social Services Limited,Mount Isa Transitional Youth Hub,4825,The Gap (Mount Isa City),Mount Isa (C),4825,Mornington,Mount Isa (C),,,DYJ,YJ - MT ISA TRANSITIONAL HUB,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1878058,Multi-year,1/01/2023,30/06/2027,2760690,
14640793728,Palm Island Community Company Limited,Palm Island Young Offender Support Service,4810,TOWNSVILLE,Townsville (C),4810,Townsville City,Townsville (C),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,327452,Multi-year,1/01/2023,31/12/2027,318726,
21132666525,Queensland Aboriginal and Torres Strait Islander Child Protection Peak Ltd,QATSICPP YJFLDM Training and Evaluation Support,4102,Woolloongabba,Brisbane (C),4102,Woolloongabba,Brisbane (C),,,DYJ,YJ Family Led Decision Making,,Yes,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,379212,Multi-year,1/07/2022,30/06/2024,738212,
21132666525,Queensland Aboriginal and Torres Strait Islander Child Protection Peak Ltd,Youth Justice Peak body,4102,Woolloongabba,Brisbane (C),4102,Woolloongabba,Brisbane (C),,,DYJ,Other Services,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,158333,Multi-year,1/05/2024,30/04/2027,158333,
20833580090,Queensland African Communities Council,Intensive Family Partnership - African Community,4105,Moorooka,Brisbane (C),4105,Moorooka,Brisbane (C),,,DYJ,Family Responses,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,320000,Multi-year,1/09/2023,31/12/2024,403152,
17724640741,Redcliffe Area Youth Space Incorporated,Redcliffe Area Youth Space – Remand Reduction Response,4020,REDCLIFFE,Moreton Bay (R),4020,Redcliffe,Moreton Bay (R),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,154895,Multi-year,1/07/2021,30/06/2025,441097,
99008610035,Save The Children Australia,"Doomadgee Strong Culture, Strong Tomorrow",1234,Interstate,Interstate,4655,Pialba,Fraser Coast (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,81864,1 year or less,1/01/2024,31/03/2024,81864,
99008610035,Save The Children Australia,"Doomadgee Strong Culture, Strong Tomorrow",1234,Interstate,Interstate,4655,Pialba,Fraser Coast (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,99514,1 year or less,1/01/2023,31/12/2023,99514,
99008610035,Save The Children Australia,"Doomadgee Strong Culture, Strong Tomorrow",1234,Interstate,Interstate,4655,Pialba,Fraser Coast (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,81750,Multi-year,1/05/2024,30/06/2026,81750,
99008610035,Save The Children Australia,Hervey Bay Bail Support Service,1234,Interstate,Interstate,4655,Pialba,Fraser Coast (R),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,364424,Multi-year,1/12/2022,30/06/2025,680674,
99008610035,Save The Children Australia,Intensive Bail Initiative – Mount Isa,1234,Interstate,Interstate,4825,Mount Isa,Mount Isa (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,770477,Multi-year,1/11/2023,30/06/2025,193412,
99008610035,Save The Children Australia,"Mornington Island Strong Culture, Strong Tomorrow",1234,Interstate,Interstate,4655,Pialba,Fraser Coast (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,24773,1 year or less,1/01/2023,31/12/2023,145769,
99008610035,Save The Children Australia,"Mornington Island Strong Culture, Strong Tomorrow",1234,Interstate,Interstate,4655,Pialba,Fraser Coast (R),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,84128,1 year or less,1/01/2024,31/03/2024,84128,
54626633931,Mirndiyan Gununa Aboriginal Corporation,YOSS Mornington Island,4892,Gununa,Mornington (S),4892,Gununa,Mornington (S),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,81750,Multi-year,1/05/2024,30/06/2025,81750,
99008610035,Save The Children Australia,MY JUST Bail Support Service (Mackay),1234,Interstate,Interstate,4817,Kirwan,Townsville (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,296430,Multi-year,1/07/2021,30/06/2025,844149,
99008610035,Save The Children Australia,MY JUST Bail Support Service (Mt Isa),1234,Interstate,Interstate,4825,Townview,Mount Isa (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,118895,Multi-year,1/07/2021,30/06/2025,764625,
94859410728,Sisters Inside Inc,Yangah Program (Bail Support-Gendered Response to girls and young women in South East Queensland),4101,SOUTH BRISBANE,Brisbane (C),4101,West End (Brisbane City),Brisbane (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,576658,Multi-year,1/07/2021,30/06/2025,1636926,
19879103916,The Base Support Services Inc,Family and Youth Support Service (FAYSS),4300,Goodna,Ipswich (C),4300,Goodna,Ipswich (C),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,438364,Multi-year,1/01/2023,31/12/2027,645864,
78793694389,The Corporation of the Roman Catholic Diocese of Toowoomba CatholicCare Social Services,Intensive Bail Initiative - Toowoomba,4350,Toowoomba,Toowoomba (R),4350,Toowoomba City,Toowoomba (R),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1342607,Multi-year,1/07/2023,30/06/2025,1342607,
39906010979,The Corporation of the Synod of the Diocese of Brisbane,Anglicare Southern Queensland Intensive Bail Initiative - Gold Coast,4006,Fortitude Valley,Brisbane (C),4215,Southport,Gold Coast (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1484320,Multi-year,1/07/2023,30/06/2028,1484320,
39906010979,The Corporation of the Synod of the Diocese of Brisbane,Anglicare Southern Queensland Intensive Bail Initiative - Logan,4006,Bowen Hills,Brisbane (C),4207,Beenleigh,Logan (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1391100,Multi-year,1/07/2023,30/06/2028,1391100,
49018049971,The Ted Noffs Foundation,NOFFS - Alcohol and Drug Treatment Service (PALM),1234,Interstate,Interstate,4510,Caboolture,Moreton Bay (R),,,DYJ,Youth Drug and Alcohol Treatment Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,2487434,Multi-year,1/07/2023,30/06/2025,2487434,
49018049971,The Ted Noffs Foundation,Noffs Street University,1234,Interstate,Interstate,4817,Kirwan,Townsville (C),,,DYJ,Young Offender Support Service,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1543715,Multi-year,1/08/2023,30/06/2025,1543715,
66010113603,Townsville Aboriginal and Torres Strait Islander Corporation for Health Services,TAIHS - Townsville IBI,4814,Garbutt,Townsville (C),4815,Rasmussen,Townsville (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,715953,Multi-year,1/12/2023,30/06/2028,715953,
66010113603,Townsville Aboriginal and Torres Strait Islander Corporation for Health Services,TAIHS Bail Support Townsville,4814,Garbutt,Townsville (C),4814,Douglas (Townsville City),Townsville (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,277290,1 year or less,1/07/2023,30/11/2023,277290,
66010113603,Townsville Aboriginal and Torres Strait Islander Corporation for Health Services,TAIHS Intensive Bail Initiative Townsville,4814,Garbutt,Townsville (C),4815,Rasmussen,Townsville (C),,,DYJ,Intensive Bail Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,212109,1 year or less,1/12/2022,30/11/2023,484358,
66010113603,Townsville Aboriginal and Torres Strait Islander Corporation for Health Services,The Lighthouse - After Hours Diversion Service - Townsville,4814,Garbutt,Townsville (C),4814,Garbutt,Townsville (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1712659,Multi-year,1/01/2024,30/06/2028,856323,
66010113603,Townsville Aboriginal and Torres Strait Islander Corporation for Health Services,The Youth Hub - After Hours Diversion Service - Upper Ross,4814,Garbutt,Townsville (C),4815,Rasmussen,Townsville (C),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,566196,Multi-year,1/07/2021,30/06/2025,1596739,
96372268340,Trustees of Edmund Rice Education Australia,Townsville Flexi-Learning Centre - Burragah Program,1234,Interstate,Interstate,4810,West End (Townsville City),Townsville (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,134281,1 year or less,1/07/2023,31/12/2023,134281,
15010112580,WuChopperen Health Service Ltd,Connecting Youth Service,4870,MANUNDA,Cairns (R),4870,Manoora,Cairns (R),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,273930,1 year or less,1/07/2023,31/12/2023,156273,
15010112580,WuChopperen Health Service Ltd,Wuchopperen _ YJ Family Led Decision Making Program,4870,MANUNDA,Cairns (R),4870,Manoora,Cairns (R),,,DYJ,YJ Family Led Decision Making,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,266992,Multi-year,1/10/2022,30/06/2026,444949,
11651541972,Wulgurukaba Walkabouts,Townsville Cultural Mentoring Program ,4817,Thuringowa Central,Townsville (C),4817,Thuringowa Central,Townsville (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,145898,1 year or less,1/11/2023,30/06/2024,145898,
85051706001,Y-Care (South East Queensland) Inc,Y-Care QYPI Northlakes (Westfield),4006,Fortitude Valley,Brisbane (C),4509,North Lakes,Moreton Bay (R),,,DYJ,Qld Youth Partnership Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,67592,1 year or less,1/07/2023,31/03/2024,50694,
