ID,Name,Description,Organization,Organization_Type,Address,City,Postcode,Region,Phone,Email,Categories,Keywords,Min_Age,Max_Age,Youth_Specific,Indigenous_Specific,Data_Source,Status
412286ef-47a3-4c53-b775-466eb2a78552,"Kids Helpline - 24/7 Phone and Online Counselling","Free, confidential 24/7 phone and online counselling service for young people aged 5-25. Services include:
- Crisis support and suicide prevention
- Mental health and emotional wellbeing support
- Fam","Kids Helpline",non_profit,"Online and Phone Service",Queensland,4000,statewide,[object Object],,"mental_health, crisis_support, family_support","crisis, counselling, helpline, mental health, suicide, emergency, 24/7",,,true,false,crisis_support,active
79a2218e-225c-4a1c-9e1f-3176248fb071,"Kids Helpline @ School Program","Free counselling sessions delivered in Queensland schools. Services include:
- Individual counselling sessions at school
- Group sessions on mental health topics
- Crisis response for schools
- Suppor","Kids Helpline",non_profit,"Available in Schools",Queensland,4000,statewide,[object Object],,"mental_health, education_training","school, counselling, mental health, students",,,true,false,crisis_support,active
5765731d-b295-4c44-8dcd-e66597512400,"Yarning Circle - Aboriginal and Torres Strait Islander Support Line","Culturally appropriate crisis support through 1800RESPECT for Aboriginal and Torres Strait Islander people affected by family violence and sexual assault. Services include:
- Yarning with Aboriginal a","1800RESPECT",government,"National Phone Service",Queensland,4000,statewide,[object Object],,"crisis_support, cultural_support, family_support","aboriginal, torres strait islander, yarning, crisis, family violence, cultural",,,false,true,crisis_support,active
000a0eef-bec2-4594-b4b8-caf95cbae372,"Brisbane Youth Justice Service Centre","Youth Justice Service Centre providing comprehensive support for young people aged 10-17 in the youth justice system. Services include:
- Bail support and supervision
- Court-ordered supervision
- Res","Department of Youth Justice",government,"1 William Street",Brisbane,4000,brisbane,[object Object],brisbane.yj@justice.qld.gov.au,"supervision, court_support, diversion, family_support, cultural_support","youth justice, bail, supervision, court, restorative justice, conferencing",,,true,false,demo,active
c5ba1a0c-e5a3-444e-950a-e89f6d983a1f,"Gold Coast Youth Justice Service Centre","Youth Justice Service Centre providing comprehensive support for young people aged 10-17 in the youth justice system. Services include:
- Bail support and supervision
- Court-ordered supervision
- Res","Department of Youth Justice",government,"Level 3, 50 Cavill Avenue",Surfers Paradise,4217,gold_coast,[object Object],,"supervision, court_support, diversion, family_support, cultural_support","youth justice, bail, supervision, court, restorative justice, conferencing",,,true,false,demo,active
40c2925f-9cc9-4bbd-b3c8-f69f993d939f,"Legal Aid Queensland - Townsville","Legal representation for young people in criminal matters, with specialist youth lawyers available for serious charges and Children's Court matters.","Legal Aid Queensland",government,"123 Example Street",Townsville,4000,townsville,[object Object],,"legal_aid, court_support","legal_aid, court_support",,,true,false,demo,active
416a4419-b8b4-4133-b681-fa084ae00071,"Townsville Youth Justice Service Centre","Youth Justice Service Centre providing comprehensive support for young people aged 10-17 in the youth justice system. Services include:
- Bail support and supervision
- Court-ordered supervision
- Res","Department of Youth Justice",government,"187 Stanley Street",Townsville,4810,townsville,[object Object],,"supervision, court_support, diversion, family_support, cultural_support","youth justice, bail, supervision, court, restorative justice, conferencing",,,true,true,demo,active
5de3b602-779c-4298-a25b-a3bdcab395c8,"Youth Advocacy Centre","Free advocacy and support for young people in contact with youth justice, child protection, education, and housing systems. Provides individual advocacy and systemic reform.","Youth Advocacy Centre",non_profit,"123 Example Street",Brisbane,4000,brisbane,[object Object],admin@yac.net.au,"advocacy, legal_aid, housing, education_training","advocacy, legal_aid, housing, education_training",,,true,false,demo,active
dee945f6-a476-410f-8514-4432ef816d74,"Youth Legal Service - Brisbane","Free legal advice and representation for young people under 18. Specializes in criminal law, child protection matters, and education law. Available for court representation and police interviews.","Legal Aid Queensland",government,"123 Example Street",Brisbane,4000,brisbane,[object Object],youthlegal@legalaid.qld.gov.au,"legal_aid, advocacy, court_support","legal_aid, advocacy, court_support",,,true,false,demo,active
8b32f943-dd6e-4037-b726-25d03b8f5e63,"headspace Brisbane","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"Level 2",139 Melbourne Street,4101,brisbane,[object Object],headspace.brisbane@health.qld.gov.au,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,demo,active
dd3872a2-a186-4311-8e4f-f6194bce36e6,"headspace Cairns","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"176 Grafton Street",Cairns QLD 4870,4870,cairns,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,demo,active
71a6bb9d-f562-4a55-9594-5ade1c9fc013,"headspace Bundaberg","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"6 Barolin Street",Bundaberg QLD 4670,4670,bundaberg,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
47f3493c-0ade-42b7-9054-740d33a4bcc4,"headspace Caboolture","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"32 King Street",Caboolture QLD 4510,4510,brisbane,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
73ab1521-913d-48e8-869f-0969b75ae080,"headspace Fraser Coast","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"422 Kent Street",Maryborough QLD 4650,4650,hervey_bay,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
3eca9f64-9a48-48ef-a109-6089b400142c,"headspace Gladstone","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"147 Goondoon Street",Gladstone QLD 4680,4680,gladstone,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
d52c3019-e32d-41cd-adea-8e7be2540255,"headspace Gold Coast","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"Level 1",1 Bay Street,4215,gold_coast,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
e9489b4b-2f2e-4a4e-bc61-371b70a6edaa,"headspace Ipswich","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"15 Gordon Street",Ipswich QLD 4305,4305,brisbane,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
0c59f0a0-a88d-46f1-8e5e-aa2b7ea73635,"headspace Logan","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"10-16 Civic Parade",Logan Central QLD 4114,4114,brisbane,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
cbaf3622-a641-4990-855a-485c81009547,"headspace Mackay","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"Level 1",60 Wood Street,4740,mackay,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
04617f25-2712-4a6a-b551-3deff7a75671,"headspace Mount Isa","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"17-19 Isa Street",Mount Isa QLD 4825,4825,mount_isa,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
7bb75d21-960b-4831-a64e-093fab94462b,"headspace Rockhampton","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"134 Alma Street",Rockhampton QLD 4700,4700,rockhampton,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
615734c5-c42b-4112-8079-08de879a69d7,"headspace Sunshine Coast","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"37 First Avenue",Maroochydore QLD 4558,4558,sunshine_coast,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
e15ebb44-9cb0-47f4-a4c1-6ceeb3927351,"headspace Toowoomba","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"484 Ruthven Street",Toowoomba QLD 4350,4350,toowoomba,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
f5273448-5fc9-4e03-88ff-e79fe1759f20,"headspace Townsville","Free mental health and wellbeing support for young people aged 12-25. Services include:
- Mental health support and counselling
- Physical and sexual health advice
- Alcohol and other drug services  
","headspace National Youth Mental Health Foundation",non_profit,"143 Walker Street",Townsville QLD 4810,4810,townsville,[object Object],,"mental_health, substance_abuse, education_training","mental health, counselling, psychology, youth, wellbeing, drug, alcohol, education, employment",,,true,false,headspace,active
4523601d-3bc5-4fc7-8e44-ad67a225eb95,"Legal Aid Queensland - Brisbane - Youth Legal Service","Free legal help for young people under 18 at the Brisbane office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail appli","Legal Aid Queensland",government,"44 Herschel Street",Brisbane QLD 4000,4000,brisbane,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
28f288e2-7ec1-427e-89c1-25481a68b266,"Legal Aid Queensland - Bundaberg - Youth Legal Service","Free legal help for young people under 18 at the Bundaberg office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail appl","Legal Aid Queensland",government,"3rd Floor",WIN Tower,4670,bundaberg,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
a6d89e3c-b2a8-4874-8675-f416bc002c34,"Legal Aid Queensland - Caboolture - Youth Legal Service","Free legal help for young people under 18 at the Caboolture office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail app","Legal Aid Queensland",government,"79 King Street",Caboolture QLD 4510,4510,brisbane,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
8c1f1065-0b86-453b-b04e-c4558d3704c0,"Legal Aid Queensland - Cairns - Youth Legal Service","Free legal help for young people under 18 at the Cairns office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail applica","Legal Aid Queensland",government,"104 Grafton Street",Cairns QLD 4870,4870,cairns,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
b776e8b8-1ced-4398-a51e-c7a83b78af63,"Legal Aid Queensland - Gold Coast - Youth Legal Service","Free legal help for young people under 18 at the Gold Coast office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail app","Legal Aid Queensland",government,"Level 3",25 Elkhorn Avenue,4217,gold_coast,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
e2591fa8-856c-49be-9444-4aa26911ba57,"Legal Aid Queensland - Inala - Youth Legal Service","Free legal help for young people under 18 at the Inala office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail applicat","Legal Aid Queensland",government,"20 Wirraway Parade",Inala QLD 4077,4077,brisbane,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
ce285aed-e304-4cfd-b435-3046dfd7762d,"Legal Aid Queensland - Ipswich - Youth Legal Service","Free legal help for young people under 18 at the Ipswich office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail applic","Legal Aid Queensland",government,"117 Brisbane Street",Ipswich QLD 4305,4305,brisbane,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
6550b78c-4b4d-4467-b0df-abfdb3b9f508,"Legal Aid Queensland - Mackay - Youth Legal Service","Free legal help for young people under 18 at the Mackay office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail applica","Legal Aid Queensland",government,"44 Nelson Street",Mackay QLD 4740,4740,mackay,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
0c70e4d8-bfbd-469e-8986-dbfe95c7a520,"Legal Aid Queensland - Mount Isa - Youth Legal Service","Free legal help for young people under 18 at the Mount Isa office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail appl","Legal Aid Queensland",government,"20 Miles Street",Mount Isa QLD 4825,4825,mount_isa,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
a1ca7bf6-fe63-4930-9593-20cabacb6733,"Legal Aid Queensland - Rockhampton - Youth Legal Service","Free legal help for young people under 18 at the Rockhampton office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail ap","Legal Aid Queensland",government,"209 Bolsover Street",Rockhampton QLD 4700,4700,rockhampton,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
e182b0a3-5a6f-41cf-87ef-637fb4eb07b7,"Legal Aid Queensland - Sunshine Coast - Youth Legal Service","Free legal help for young people under 18 at the Sunshine Coast office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail","Legal Aid Queensland",government,"Shop 14",20 Bunker Road,4558,sunshine_coast,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
0d83d34e-ad46-4852-9c3e-44081a97204b,"Legal Aid Queensland - Toowoomba - Youth Legal Service","Free legal help for young people under 18 at the Toowoomba office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail appl","Legal Aid Queensland",government,"1/46 Neil Street",Toowoomba QLD 4350,4350,toowoomba,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
9b40bcaf-313f-49eb-9f29-b64075d57ebe,"Legal Aid Queensland - Townsville - Youth Legal Service","Free legal help for young people under 18 at the Townsville office. Services include:
- Criminal law advice and representation
- Children's Court appearances  
- Police interview assistance
- Bail app","Legal Aid Queensland",government,"Level 1",340 Ross River Road,4814,townsville,[object Object],,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth, children's court, free legal help",,,true,false,legal_aid_qld,active
11945b7e-9586-4bc0-aeec-74cf434c9df5,"Youth Legal Service - Legal Aid Queensland","Free specialist legal help for young people under 18 years. Services include:
- Criminal law representation in Children's Court
- Legal advice for police interviews
- Bail applications and variations
","Legal Aid Queensland",government,"",,,,,,"legal_aid, court_support, advocacy","legal aid, lawyer, court, criminal, youth justice, children's court, bail, free legal help",,,true,false,legal_aid_qld,active
d52ca158-3aaa-408b-83dc-30a0ae010faf,"PCYC Beenleigh","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"2 James Street",Beenleigh QLD 4207,4207,brisbane,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
24164194-95f5-49d7-838f-8afb19cb42e0,"PCYC Brisbane City","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"21 Kurilpa Street",West End QLD 4101,4101,brisbane,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
320e6c9e-0a65-485a-a902-7290de1f7d82,"PCYC Bundaberg","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"30-32 Quay Street",Bundaberg QLD 4670,4670,bundaberg,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
5c051304-e9d4-4980-badd-a28d67db192d,"PCYC Cairns","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"119 Sheridan Street",Cairns QLD 4870,4870,cairns,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
a9da6418-b3cc-42ee-9d09-fbf1e38b701a,"PCYC Gladstone","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"1-7 Chapman Drive",Clinton QLD 4680,4680,gladstone,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
41a7c061-6f35-443e-b02f-f505ae6f0899,"PCYC Gold Coast","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"2 Mudgeeraba Road",Mudgeeraba QLD 4213,4213,gold_coast,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
99b40d3f-d001-4074-b7ab-9be89475504b,"PCYC Ipswich","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"39 Griffith Road",Yamanto QLD 4305,4305,brisbane,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
63bc19c8-6a2c-43a6-8e04-86943e034338,"PCYC Mackay","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"92 Bridge Road",West Mackay QLD 4740,4740,mackay,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
42e9ff0d-7415-48ad-9d5b-1c545be6d913,"PCYC Mount Isa","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"1 Splinter Street",Mount Isa QLD 4825,4825,mount_isa,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
cea1104e-9f3e-477a-bd3a-09015ebb8688,"PCYC Pine Rivers","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"1030 Samford Road",Keperra QLD 4054,1030,brisbane,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
2577014d-c3d3-4a8e-944e-a3985dffe79c,"PCYC Redlands","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"14 Smith Street",Cleveland QLD 4163,4163,brisbane,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
a9432cdb-0b36-4417-8301-9847fa94271a,"PCYC Rockhampton","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"60 Charles Street",Berserker QLD 4701,4701,rockhampton,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
7cfbc6a4-8dff-4f3b-b656-abc2f35344b1,"PCYC Sunshine Coast","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"18-30 National Park Road",Nambour QLD 4560,4560,sunshine_coast,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
7e787612-e0cb-4bfb-8cba-f36174a347e6,"PCYC Toowoomba","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"15 Railway Street",Gatton QLD 4343,4343,toowoomba,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
6f2446c0-7224-4235-bfa1-bad33032f5fb,"PCYC Townsville","Police Citizens Youth Club providing safe activities and support programs for young people. Services include:
- Structured sport and recreation programs
- Youth development and leadership programs  
-","PCYC Queensland",non_profit,"1-13 Wellington Street",Aitkenvale QLD 4814,4814,townsville,[object Object],,"recreation, education_training, diversion","sports, recreation, youth programs, police, activities, gymnastics, martial arts, leadership, mentoring",,,true,false,pcyc_qld,active
