ID,Name,Description,Organization,Organization_Type,Address,Suburb,City,State,Postcode,Phone,Email,Website,Categories,Youth_Specific,Indigenous_Specific,Data_Source,Status,Latitude,Longitude
438e3845-da75-4092-9115-8e6eaaafd5e3,"Melbourne Youth Arts Program","Comprehensive arts culture support for young people throughout Melbourne and surrounding areas.","Melbourne Community Centre",indigenous,"926 Bourke St",Melbourne,Melbourne,VIC,3000,(03) 6911 9564,contact@melbournecommunityce.org.au,https://www.melbournecommunityce.gov.au,"arts_culture, community_service",true,false,Brisbane Council,active,-37.80553989820488,144.9629798468307
c0980160-df9a-42b7-9cca-9f6b939265ba,"Melbourne Youth Counselling Service","Comprehensive community service support for young people throughout Melbourne and surrounding areas.","Melbourne Salvation Army",non_profit,"463 Collins St",Melbourne,Melbourne,VIC,3000,(03) 2326 6833,services@melbournesalvationar.org.au,https://www.melbournesalvationar.gov.au,"community_service, crisis_support, job_placement",true,false,Sydney Council,active,-37.82214337789387,144.96431154816756
8b4408f7-2535-4578-8fb2-0af0a099f568,"Melbourne Employment Training Hub","Providing community development services to young people in Melbourne and surrounding areas.","Melbourne Legal Aid",charity,"601 Main St",Melbourne,Melbourne,VIC,3000,(03) 9317 4618,help@melbournelegalaid.org.au,https://www.melbournelegalaid.com.au,"community_development",true,false,Data.WA,active,-37.8070877065074,144.95872528254026
a127385a-b720-4950-8272-5e10be4463e4,"Melbourne Drug & Alcohol Support","Comprehensive parenting support for young people throughout Melbourne and surrounding areas.","Melbourne Legal Aid",faith_based,"853 High St",Melbourne,Melbourne,VIC,3000,(03) 6045 3649,services@melbournelegalaid.gov.au,https://www.melbournelegalaid.org.au,"parenting, psychology, emergency_relief",true,false,Perth Council,active,-37.81823881886661,144.95920345116295
ef689a31-e19d-4a69-9562-ee17dda8577b,"Melbourne Multicultural Youth Services 45","Professional health services assistance available to young people in the Melbourne and surrounding areas region.","Melbourne Council",university,"67 Queen St",Melbourne,Melbourne,VIC,3000,(03) 7674 7301,services@melbournecouncil.gov.au,https://www.melbournecouncil.com.au,"health_services, parenting, dental",true,false,Data.gov.au,active,-37.804214475763516,144.9716407723461
7dafe3bb-af11-48cd-b10f-59477d84b29b,"Brisbane Youth Health Clinic","Community-based centrelink program serving young people across Brisbane and surrounding areas.","Brisbane Mission Australia",hospital,"728 Queen St",Brisbane City,Brisbane,QLD,4000,(07) 2744 0075,help@brisbanemissionaustr.gov.au,https://www.brisbanemissionaustr.com.au,"centrelink, vocational_education",true,false,NT Open Data,active,-27.459987372391065,153.02143004509455
26a942ac-0671-441f-8782-ac4d93cdd3d5,"Brisbane Youth Justice Support","Professional parenting assistance available to young people in the Brisbane and surrounding areas region.","Brisbane Mission Australia",university,"901 High St",Brisbane City,Brisbane,QLD,4000,(07) 8453 0149,help@brisbanemissionaustr.org.au,https://www.brisbanemissionaustr.gov.au,"parenting, medical",true,false,Ask Izzy,active,-27.477886474434207,153.03404076156784
34a4a642-b891-44c6-818e-23552782b525,"Brisbane Youth Development Program","Professional multicultural assistance available to young people in the Brisbane and surrounding areas region.","Brisbane Mission Australia",government,"308 Queen St",Brisbane City,Brisbane,QLD,4000,(07) 1425 4754,help@brisbanemissionaustr.com.au,https://www.brisbanemissionaustr.org.au,"multicultural",true,false,Data.NSW,active,-27.475924477839776,153.02138454628533
73e8dd90-78ec-4836-97a4-e854661254e8,"Brisbane Employment Training Hub","Dedicated suicide prevention services designed for community members living in Brisbane and surrounding areas.","Brisbane Mission Australia",hospital,"575 George St",Brisbane City,Brisbane,QLD,4000,(07) 3185 3863,services@brisbanemissionaustr.com.au,https://www.brisbanemissionaustr.org.au,"suicide_prevention, psychology",false,true,Data.NSW,active,-27.465057493850356,153.0209554744907
67e02864-6172-44fc-a83b-8e5200e75303,"Brisbane Youth Health Clinic 1","Community-based sexual health program serving young people across Brisbane and surrounding areas.","Brisbane Aboriginal Corporation",community,"493 Collins St",Brisbane City,Brisbane,QLD,4000,(07) 9324 0569,help@brisbaneaboriginalco.gov.au,https://www.brisbaneaboriginalco.com.au,"sexual_health, domestic_violence",true,false,Brisbane Council,active,-27.46079592556703,153.0202137569192
03bb6aa9-20c7-440b-829b-65aac94b730f,"Brisbane Youth Counselling Service","Dedicated employment services designed for young people living in Brisbane and surrounding areas.","Brisbane Aboriginal Corporation",non_profit,"799 Bourke St",Brisbane City,Brisbane,QLD,4000,(07) 9843 6921,info@brisbaneaboriginalco.org.au,https://www.brisbaneaboriginalco.com.au,"employment, crisis_support",true,false,Adelaide Council,active,-27.474215988395777,153.02102926620978
bc37b7e4-a7e5-4458-96a7-5097ff58d0c5,"Brisbane Youth Justice Support 19","Dedicated medical services designed for young people living in Brisbane and surrounding areas.","Brisbane Youth Services",faith_based,"487 Collins St",Brisbane City,Brisbane,QLD,4000,(07) 5550 8172,services@brisbaneyouthservice.com.au,https://www.brisbaneyouthservice.com.au,"medical, suicide_prevention, apprenticeships",true,false,Service Seeker,active,-27.47094859626708,153.02475367197525
1ddd5aa8-887d-43d6-8a3e-a7a3d6d035be,"Brisbane Drug & Alcohol Support","Professional sexual health assistance available to young people in the Brisbane and surrounding areas region.","Brisbane Salvation Army",commercial,"997 High St",Brisbane City,Brisbane,QLD,4000,(07) 7443 3774,help@brisbanesalvationarm.gov.au,https://www.brisbanesalvationarm.org.au,"sexual_health",true,false,Perth Council,active,-27.467036209526892,153.01746279211125
395075e6-c7c5-41c2-af4c-5764588a27d2,"Brisbane Indigenous Youth Centre","Providing education support services to young people in Brisbane and surrounding areas.","Headspace Brisbane",university,"196 Church St",Brisbane City,Brisbane,QLD,4000,(07) 4030 7645,support@headspacebrisbane.gov.au,https://www.headspacebrisbane.com.au,"education_support, victim_support",true,true,Service Seeker,active,-27.463868208023996,153.01703869936716
f4ef88ae-e75c-43e7-a51e-22c40e7ff723,"Brisbane Multicultural Youth Services","Providing victim support services to young people in Brisbane and surrounding areas.","Brisbane Neighbourhood Centre",university,"720 Collins St",Brisbane City,Brisbane,QLD,4000,(07) 8298 0163,support@brisbaneneighbourhoo.com.au,https://www.brisbaneneighbourhoo.com.au,"victim_support",true,false,Data.VIC,active,-27.477905739487838,153.03363267329718
4e5ffe9f-2b99-4566-ba8f-91290335224b,"Brisbane Employment Training Hub 72","Providing parenting services to community members in Brisbane and surrounding areas.","Brisbane YMCA",commercial,"81 King St",Brisbane City,Brisbane,QLD,4000,(07) 7768 9532,services@brisbaneymca.com.au,https://www.brisbaneymca.gov.au,"parenting, family_mediation, financial_counselling",false,false,Data.VIC,active,-27.476147432675333,153.02144170043348
c51b8fc4-8c41-4916-8a43-0ec684720c41,"Brisbane Youth Counselling Service 24","Professional work experience assistance available to young people in the Brisbane and surrounding areas region.","Brisbane Neighbourhood Centre",school,"188 Collins St",Brisbane City,Brisbane,QLD,4000,(07) 8895 9508,services@brisbaneneighbourhoo.org.au,https://www.brisbaneneighbourhoo.gov.au,"work_experience",true,false,Ask Izzy,active,-27.461253756973942,153.02892548463572
fe94e8bc-194f-4503-975a-7bd5ced342ca,"Brisbane Aboriginal Health Service","Providing volunteer programs services to young people in Brisbane and surrounding areas.","Brisbane Aboriginal Corporation",commercial,"727 George St",Brisbane City,Brisbane,QLD,4000,(07) 4749 5948,services@brisbaneaboriginalco.gov.au,https://www.brisbaneaboriginalco.gov.au,"volunteer_programs, mental_health, housing",true,true,Find & Connect,active,-27.47370240631064,153.03020430378328
a932a9c4-2ac4-48a1-8344-7efc4e7ef1f0,"Brisbane Crisis Support Service","Comprehensive legal aid support for young people throughout Brisbane and surrounding areas.","Brisbane Mission Australia",commercial,"906 Bourke St",Brisbane City,Brisbane,QLD,4000,(07) 1499 5678,contact@brisbanemissionaustr.org.au,https://www.brisbanemissionaustr.gov.au,"legal_aid",true,false,Service Seeker,active,-27.474843009858226,153.01660979682697
938ce4f4-725f-43b8-bd85-9508cc113088,"Brisbane Youth Legal Service","Comprehensive mentoring support for young people throughout Brisbane and surrounding areas.","Beyond Blue Brisbane",university,"690 King St",Brisbane City,Brisbane,QLD,4000,(07) 4294 7679,info@beyondbluebrisbane.com.au,https://www.beyondbluebrisbane.org.au,"mentoring, homelessness, community_development",true,false,Data.SA,active,-27.47311200313684,153.01802580146273
cfc41b56-7958-4e6d-bcb3-b0eeb2514ace,"Perth Youth Legal Service","Comprehensive career guidance support for young people throughout Perth and surrounding areas.","Headspace Perth",non_profit,"857 King St",Perth,Perth,WA,6000,(08) 2339 3719,info@headspaceperth.org.au,https://www.headspaceperth.gov.au,"career_guidance, legal_aid, education_support",true,false,Sydney Council,active,-31.94405035539815,115.85536593050983
ab65795d-93b9-4bba-8379-7c894b293e07,"Perth Homeless Youth Outreach","Community-based financial assistance program serving young people across Perth and surrounding areas.","Perth Council",university,"332 Collins St",Perth,Perth,WA,6000,(08) 7469 9296,info@perthcouncil.org.au,https://www.perthcouncil.com.au,"financial_assistance, parenting, community_service",true,false,Perth Council,active,-31.948319207286463,115.8629564407575
0def8444-97ce-4741-a138-00ee75172e92,"Perth Aboriginal Health Service","Comprehensive mentoring support for young people throughout Perth and surrounding areas.","Perth Salvation Army",school,"639 Church St",Perth,Perth,WA,6000,(08) 4080 9344,support@perthsalvationarmy.com.au,https://www.perthsalvationarmy.gov.au,"mentoring",true,true,Find & Connect,active,-31.947882041748535,115.86346948183633
20908eb1-cbc9-4580-996a-501dbb649c27,"Perth Emergency Relief Centre","Community-based parenting program serving young people across Perth and surrounding areas.","Perth Legal Aid",community,"460 Queen St",Perth,Perth,WA,6000,(08) 2211 0737,support@perthlegalaid.com.au,https://www.perthlegalaid.org.au,"parenting",true,false,NT Open Data,active,-31.958694819159483,115.85323285532724
a3ee130c-44e6-4695-8675-e89b27ff367f,"Perth Crisis Support Service","Dedicated court support services designed for young people living in Perth and surrounding areas.","Headspace Perth",faith_based,"65 Bourke St",Perth,Perth,WA,6000,(08) 5321 4565,info@headspaceperth.com.au,https://www.headspaceperth.com.au,"court_support, family_law",true,false,NT Open Data,active,-31.946414248941284,115.85303080846366
8edad90a-f8a1-4e6a-a775-06ea664461ee,"Perth Youth Development Program","Professional multicultural assistance available to young people in the Perth and surrounding areas region.","Perth Neighbourhood Centre",commercial,"928 Main St",Perth,Perth,WA,6000,(08) 9277 3691,help@perthneighbourhoodce.com.au,https://www.perthneighbourhoodce.com.au,"multicultural, legal_aid",true,false,List Tasmania,active,-31.956287508969343,115.85072381147452
cd032c64-dfcf-42ba-9721-ca220798e78f,"Perth Emergency Relief Centre 12","Providing court support services to community members in Perth and surrounding areas.","Perth Mission Australia",faith_based,"764 Queen St",Perth,Perth,WA,6000,(08) 8050 9888,contact@perthmissionaustrali.com.au,https://www.perthmissionaustrali.org.au,"court_support, victim_support, criminal_law",false,false,Sydney Council,active,-31.956604521692395,115.85985486774231
6c53c6f0-302b-4cdb-a34f-b0c3cd838ba9,"Perth Community Legal Centre","Comprehensive multicultural support for young people throughout Perth and surrounding areas.","Perth Mission Australia",indigenous,"798 King St",Perth,Perth,WA,6000,(08) 8573 8158,info@perthmissionaustrali.com.au,https://www.perthmissionaustrali.gov.au,"multicultural, financial_assistance",true,false,Find & Connect,active,-31.95312739653022,115.87000548877701
1d2c3324-7424-4081-ab25-8501072e7e29,"Perth Youth Housing Support","Community-based transitional housing program serving young people across Perth and surrounding areas.","Perth Aboriginal Corporation",school,"322 Main St",Perth,Perth,WA,6000,(08) 5701 4939,services@perthaboriginalcorpo.org.au,https://www.perthaboriginalcorpo.org.au,"transitional_housing, career_guidance",true,false,Data.NSW,active,-31.940597296284043,115.86761912616542
512fbd73-1ff2-46d1-ad47-484ad6ba9aa8,"Perth Employment Training Hub","Dedicated job placement services designed for community members living in Perth and surrounding areas.","Perth Salvation Army",charity,"252 High St",Perth,Perth,WA,6000,(08) 3552 9810,info@perthsalvationarmy.com.au,https://www.perthsalvationarmy.org.au,"job_placement, dental",false,false,Perth Council,active,-31.95237418539487,115.87045445238462
9d42dc75-720a-4ff0-8c81-c67198f4dfd8,"Perth Educational Support Centre","Dedicated family support services designed for young people living in Perth and surrounding areas.","Beyond Blue Perth",indigenous,"129 George St",Perth,Perth,WA,6000,(08) 4561 8596,contact@beyondblueperth.com.au,https://www.beyondblueperth.com.au,"family_support",true,false,Data.NSW,active,-31.955008979202272,115.85433382831611
86039fb3-0d30-4e71-8ebb-7df71f8e4630,"Perth Youth Housing Support 97","Comprehensive transitional housing support for young people throughout Perth and surrounding areas.","Perth Health Service",hospital,"9 Collins St",Perth,Perth,WA,6000,(08) 8373 0438,support@perthhealthservice.gov.au,https://www.perthhealthservice.gov.au,"transitional_housing, apprenticeships",true,false,List Tasmania,active,-31.956239032062864,115.869518331019
91d101d8-f5a3-4374-bcd4-60434499938e,"Perth Drug & Alcohol Support","Professional youth development assistance available to young people in the Perth and surrounding areas region.","Perth Youth Services",faith_based,"674 Collins St",Perth,Perth,WA,6000,(08) 8837 5753,help@perthyouthservices.org.au,https://www.perthyouthservices.gov.au,"youth_development, medical, crisis_support",true,false,Sydney Council,active,-31.95908080817559,115.85817096208737
450a3fae-e50a-40d9-b95a-5966cab29a82,"Perth Educational Support Centre 98","Dedicated legal aid services designed for young people living in Perth and surrounding areas.","Perth Community Centre",community,"29 Main St",Perth,Perth,WA,6000,(08) 9707 1234,services@perthcommunitycentre.com.au,https://www.perthcommunitycentre.gov.au,"legal_aid, career_guidance",true,false,Data.WA,active,-31.942360898188497,115.87028079984013
70f3b960-6b43-49ac-8f6b-cf9ddf377a4a,"Perth Educational Support Centre 97","Professional crisis accommodation assistance available to community members in the Perth and surrounding areas region.","Perth Community Centre",faith_based,"397 George St",Perth,Perth,WA,6000,(08) 3295 3490,help@perthcommunitycentre.org.au,https://www.perthcommunitycentre.gov.au,"crisis_accommodation, crisis_support",false,false,Melbourne Council,active,-31.948407579098046,115.86987741189722
c6dabe9c-bef6-4ce9-953a-62176dce64c2,"Adelaide Community Legal Centre","Dedicated cultural support services designed for community members living in Adelaide and surrounding areas.","Adelaide Salvation Army",community,"895 Bourke St",Adelaide,Adelaide,SA,5000,(08) 1105 6254,contact@adelaidesalvationarm.gov.au,https://www.adelaidesalvationarm.gov.au,"cultural_support",false,false,Data.VIC,active,-34.93282406453716,138.60865552022375
55eaa758-fe49-4bea-a994-45c1b7805654,"Adelaide Crisis Support Service","Community-based legal aid program serving community members across Adelaide and surrounding areas.","Adelaide Legal Aid",non_profit,"411 King St",Adelaide,Adelaide,SA,5000,(08) 6311 3524,support@adelaidelegalaid.gov.au,https://www.adelaidelegalaid.com.au,"legal_aid, multicultural, transport",false,false,Adelaide Council,active,-34.93236725284114,138.60112375423805
b3d2a862-066c-4a44-bfab-60cd48fe4787,"Adelaide Educational Support Centre","Providing legal aid services to community members in Adelaide and surrounding areas.","Headspace Adelaide",community,"635 High St",Adelaide,Adelaide,SA,5000,(08) 3732 7152,help@headspaceadelaide.org.au,https://www.headspaceadelaide.com.au,"legal_aid, homelessness, training",false,false,Data.ACT,active,-34.93389489857872,138.60190928146375
15840394-a3e0-4a18-ae02-522f16b89377,"Adelaide Youth Development Program","Providing court support services to young people in Adelaide and surrounding areas.","Headspace Adelaide",non_profit,"183 George St",Adelaide,Adelaide,SA,5000,(08) 8205 9943,support@headspaceadelaide.org.au,https://www.headspaceadelaide.org.au,"court_support, training",true,false,Brisbane Council,active,-34.92531417116382,138.60092350212545
6d9d11fd-1b6d-4b5f-9b19-d46bca3d9332,"Adelaide Community Legal Centre 43","Dedicated leadership services designed for young people living in Adelaide and surrounding areas.","Adelaide Youth Services",government,"255 Collins St",Adelaide,Adelaide,SA,5000,(08) 3142 7482,info@adelaideyouthservice.com.au,https://www.adelaideyouthservice.com.au,"leadership",true,false,Brisbane Council,active,-34.93157824178226,138.6048815924853
5ca3d9bd-f02c-4e41-baa4-615a02cab17a,"Adelaide Employment Training Hub","Comprehensive literacy support for young people throughout Adelaide and surrounding areas.","Adelaide YMCA",hospital,"452 King St",Adelaide,Adelaide,SA,5000,(08) 3287 8094,services@adelaideymca.org.au,https://www.adelaideymca.gov.au,"literacy, apprenticeships",true,false,List Tasmania,active,-34.925408213728566,138.61022323180964
81538354-1d38-4958-a2f5-27e5d9fb4d33,"Adelaide Community Legal Centre 1","Dedicated transport services designed for community members living in Adelaide and surrounding areas.","Adelaide Family Services",school,"478 George St",Adelaide,Adelaide,SA,5000,(08) 1341 7751,contact@adelaidefamilyservic.org.au,https://www.adelaidefamilyservic.gov.au,"transport",false,false,List Tasmania,active,-34.92306280186288,138.60168139325057
4bf4c939-f4e0-4371-b254-101863e27e24,"Adelaide Youth Development Program 53","Providing family law services to young people in Adelaide and surrounding areas.","Adelaide Mission Australia",hospital,"29 Main St",Adelaide,Adelaide,SA,5000,(08) 7563 4047,help@adelaidemissionaustr.org.au,https://www.adelaidemissionaustr.gov.au,"family_law",true,false,Ask Izzy,active,-34.91859600837914,138.60214635805465
3e684cc4-5682-42f9-b429-29c43c6f2a1e,"Adelaide Community Legal Centre 10","Professional family support assistance available to community members in the Adelaide and surrounding areas region.","Adelaide Family Services",hospital,"162 Bourke St",Adelaide,Adelaide,SA,5000,(08) 5505 4416,help@adelaidefamilyservic.com.au,https://www.adelaidefamilyservic.gov.au,"family_support, psychology",false,false,Melbourne Council,active,-34.93022532426525,138.6094450605057
1c22e866-53bc-40c1-a426-6d484c7f047c,"Adelaide Youth Health Clinic","Comprehensive domestic violence support for young people throughout Adelaide and surrounding areas.","Adelaide Health Service",school,"76 George St",Adelaide,Adelaide,SA,5000,(08) 5850 8902,contact@adelaidehealthservic.com.au,https://www.adelaidehealthservic.org.au,"domestic_violence",true,false,Service Seeker,active,-34.93338012277053,138.60460086050188
